1,2,3,4,5,6,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Symbol,Ticker,Cash ,Name,FUT_CONT_SIZE Sep,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last
HINDALCO,HNDL,HNDL IS Equity,HINDALCO INDUSTRIES LTD,1400,HNDL=Q5 is equity,HNDL=U5 is equity,Hindalco Industry Aug25,Hindalco Industry Sep25,BBG01V9XSGZ4,BBG01VT8QKF2,1400,1400,693.65
,HPCL,HPCL IS Equity,HINDUSTAN PETROLEUM CORP,2025,HPCL=Q5 is equity,HPCL=U5 is equity,Hindustan Petrolm Aug25,Hindustan Petrolm Sep25,BBG01V9XSG93,BBG01VT8QJT0,2025,2025,398.9
HINDUNILVR,HUVR,HUVR IS Equity,HINDUSTAN UNILEVER LTD,300,HUVR=Q5 is equity,HUVR=U5 is equity,HINDUSTAN UNILEV Aug25,HINDUSTAN UNILEV Sep25,BBG01V9XSHG3,BBG01VT8QKV4,300,300,2501.1
HINDZINC,HZ,HZ IS Equity,HINDUSTAN ZINC LTD,1225,HZ=Q5 is equity,HZ=U5 is equity,Hindustan Zinc Ltd Aug25,Hindustan Zinc Ltd Sep25,BBG01V9XSGK0,BBG01VT8QK17,1225,1225,423.4
,HUDCO,HUDCO IS Equity,HOUSING & URBAN DEV CORP LTD,2775,HUDCO=Q5 is equity,HUDCO=U5 is equity,HOUSING & URBAN Aug25,HOUSING & URBAN Sep25,BBG01V9XSCP4,BBG01VT8QGL4,2775,2775,207.54
ICICIBANK,ICICI,ICICIBC IS Equity,ICICI BANK LTD,700,ICICI=Q5 is equity,ICICI=U5 is equity,ICICI Bank Aug25,ICICI Bank Sep25,BBG01V9XSJ60,BBG01VT8QM40,700,700,1433.4
,ICICG,ICICIGI IS Equity,ICICI LOMBARD GENERAL INSURA,325,ICICG=Q5 is equity,ICICG=U5 is equity,ICICI Lombard GIC Aug25,ICICI Lombard GIC Sep25,BBG01V9XSBF7,BBG01VT8QF54,325,325,1918.5
ICICIPRULI,IPRU,IPRU IS Equity,ICICI PRUDENTIAL LIFE INSURA,925,IPRU=Q5 is equity,IPRU=U5 is equity,ICICI PRUDENTIAL Aug25,ICICI PRUDENTIAL Sep25,BBG01V9XSLK9,BBG01VT8QPQ9,925,925,630.85
,IDEA,IDEA IS Equity,VODAFONE IDEA LTD,71475,IDEA=Q5 is equity,IDEA=U5 is equity,VODAFONE IDEA LT Aug25,VODAFONE IDEA LT Sep25,BBG01V9XSK12,BBG01VT8QN02,71475,71475,6.2
IDFCFIRSTB,IDFCF,IDFCFB IS Equity,IDFC FIRST BANK LTD,9275,IDFCF=Q5 is equity,IDFCF=U5 is equity,IDFC First Bank Aug25,IDFC First Bank Sep25,BBG01V9XSL38,BBG01VT8QP16,9275,9275,69.42
